Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
5890080,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
5913438,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
5937343,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
5961090,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
5984066,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
6007754,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
6031207,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
6054779,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
6078290,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
6101907,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
6125438,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
6149271,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
6172519,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
6197750,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
6220749,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
6243227,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
6266754,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
6290333,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
6313909,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
6339082,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
6360980,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
6384602,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
6408117,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
6431677,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
6455201,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
6479043,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
6502351,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
6526280,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
6549473,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
6573043,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
6599546,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
6621190,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
6643692,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
6667252,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
6690846,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
6714467,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
6738696,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
6761480,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
6785045,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
6808616,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
6832165,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
6855762,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
6881018,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
6903070,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
6926362,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
6949994,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
6973741,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
7000078,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
7020604,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
